"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell acadèmic","Nombre"
2012,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",1699
2012,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",474
2012,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",630
2012,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",643
2012,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",600
2012,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",991
2012,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",543
2012,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",593
2012,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",921
2012,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",745
2012,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",1232
2012,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",97
2012,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",1192
2012,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",245
2012,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",420
2012,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",509
2012,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",715
2012,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",1041
2012,4,"Les Corts",19,"les Corts","Home","Sense estudis",831
2012,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",513
2012,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",173
2012,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",84
2012,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",336
2012,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",194
2012,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",290
2012,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",528
2012,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",361
2012,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",250
2012,6,"Gràcia",29,"el Coll","Home","Sense estudis",186
2012,6,"Gràcia",30,"la Salut","Home","Sense estudis",288
2012,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",848
2012,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",587
2012,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",608
2012,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",308
2012,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",814
2012,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",240
2012,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",1811
2012,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",529
2012,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",310
2012,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",171
2012,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",155
2012,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",20
2012,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",1040
2012,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Sense estudis",844
2012,8,"Nou Barris",45,"Porta","Home","Sense estudis",1112
2012,8,"Nou Barris",46,"el Turó de la Peira","Home","Sense estudis",641
2012,8,"Nou Barris",47,"Can Peguera","Home","Sense estudis",135
2012,8,"Nou Barris",48,"la Guineueta","Home","Sense estudis",626
2012,8,"Nou Barris",49,"Canyelles","Home","Sense estudis",392
2012,8,"Nou Barris",50,"les Roquetes","Home","Sense estudis",1002
2012,8,"Nou Barris",51,"Verdun","Home","Sense estudis",671
2012,8,"Nou Barris",52,"la Prosperitat","Home","Sense estudis",1486
2012,8,"Nou Barris",53,"la Trinitat Nova","Home","Sense estudis",424
2012,8,"Nou Barris",54,"Torre Baró","Home","Sense estudis",187
2012,8,"Nou Barris",55,"Ciutat Meridiana","Home","Sense estudis",567
2012,8,"Nou Barris",56,"Vallbona","Home","Sense estudis",64
2012,9,"Sant Andreu",57,"la Trinitat Vella","Home","Sense estudis",542
2012,9,"Sant Andreu",58,"Baró de Viver","Home","Sense estudis",128
2012,9,"Sant Andreu",59,"el Bon Pastor","Home","Sense estudis",575
2012,9,"Sant Andreu",60,"Sant Andreu","Home","Sense estudis",1522
2012,9,"Sant Andreu",61,"la Sagrera","Home","Sense estudis",773
2012,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Sense estudis",362
2012,9,"Sant Andreu",63,"Navas","Home","Sense estudis",513
2012,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Sense estudis",837
2012,10,"Sant Martí",65,"el Clot","Home","Sense estudis",617
2012,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Sense estudis",321
2012,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Sense estudis",107
2012,10,"Sant Martí",68,"el Poblenou","Home","Sense estudis",791
2012,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Sense estudis",243
2012,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Sense estudis",1300
2012,10,"Sant Martí",71,"Provençals del Poblenou","Home","Sense estudis",655
2012,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Sense estudis",881
2012,10,"Sant Martí",73,"la Verneda i la Pau","Home","Sense estudis",1419
2012,99,"No consta",99,"No consta","Home","Sense estudis",6
2012,1,"Ciutat Vella",1,"el Raval","Home","Estudis primaris / certificat d'escolaritat / EGB",9328
2012,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Estudis primaris / certificat d'escolaritat / EGB",2067
2012,1,"Ciutat Vella",3,"la Barceloneta","Home","Estudis primaris / certificat d'escolaritat / EGB",1922
2012,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Estudis primaris / certificat d'escolaritat / EGB",2289
2012,2,"Eixample",5,"el Fort Pienc","Home","Estudis primaris / certificat d'escolaritat / EGB",2032
2012,2,"Eixample",6,"la Sagrada Família","Home","Estudis primaris / certificat d'escolaritat / EGB",3160
2012,2,"Eixample",7,"la Dreta de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1383
2012,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1656
2012,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",2848
2012,2,"Eixample",10,"Sant Antoni","Home","Estudis primaris / certificat d'escolaritat / EGB",2716
2012,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Estudis primaris / certificat d'escolaritat / EGB",5302
2012,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Estudis primaris / certificat d'escolaritat / EGB",187
2012,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Estudis primaris / certificat d'escolaritat / EGB",3726
2012,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Estudis primaris / certificat d'escolaritat / EGB",890
2012,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Estudis primaris / certificat d'escolaritat / EGB",1670
2012,3,"Sants-Montjuïc",16,"la Bordeta","Home","Estudis primaris / certificat d'escolaritat / EGB",1738
2012,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Estudis primaris / certificat d'escolaritat / EGB",2508
2012,3,"Sants-Montjuïc",18,"Sants","Home","Estudis primaris / certificat d'escolaritat / EGB",3704
2012,4,"Les Corts",19,"les Corts","Home","Estudis primaris / certificat d'escolaritat / EGB",2294
2012,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Estudis primaris / certificat d'escolaritat / EGB",1261
2012,4,"Les Corts",21,"Pedralbes","Home","Estudis primaris / certificat d'escolaritat / EGB",240
2012,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Estudis primaris / certificat d'escolaritat / EGB",211
2012,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Estudis primaris / certificat d'escolaritat / EGB",571
2012,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Estudis primaris / certificat d'escolaritat / EGB",247
2012,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Estudis primaris / certificat d'escolaritat / EGB",501
2012,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Estudis primaris / certificat d'escolaritat / EGB",908
2012,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Estudis primaris / certificat d'escolaritat / EGB",1016
2012,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Estudis primaris / certificat d'escolaritat / EGB",722
2012,6,"Gràcia",29,"el Coll","Home","Estudis primaris / certificat d'escolaritat / EGB",503
2012,6,"Gràcia",30,"la Salut","Home","Estudis primaris / certificat d'escolaritat / EGB",575
2012,6,"Gràcia",31,"la Vila de Gràcia","Home","Estudis primaris / certificat d'escolaritat / EGB",3025
2012,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Estudis primaris / certificat d'escolaritat / EGB",1684
2012,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Estudis primaris / certificat d'escolaritat / EGB",1631
2012,7,"Horta-Guinardó",34,"Can Baró","Home","Estudis primaris / certificat d'escolaritat / EGB",765
2012,7,"Horta-Guinardó",35,"el Guinardó","Home","Estudis primaris / certificat d'escolaritat / EGB",2402
2012,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Estudis primaris / certificat d'escolaritat / EGB",558
2012,7,"Horta-Guinardó",37,"el Carmel","Home","Estudis primaris / certificat d'escolaritat / EGB",3705
2012,7,"Horta-Guinardó",38,"la Teixonera","Home","Estudis primaris / certificat d'escolaritat / EGB",1245
2012,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Estudis primaris / certificat d'escolaritat / EGB",745
2012,7,"Horta-Guinardó",40,"Montbau","Home","Estudis primaris / certificat d'escolaritat / EGB",401
2012,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Estudis primaris / certificat d'escolaritat / EGB",420
2012,7,"Horta-Guinardó",42,"la Clota","Home","Estudis primaris / certificat d'escolaritat / EGB",63
2012,7,"Horta-Guinardó",43,"Horta","Home","Estudis primaris / certificat d'escolaritat / EGB",2616
2012,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Estudis primaris / certificat d'escolaritat / EGB",2165
2012,8,"Nou Barris",45,"Porta","Home","Estudis primaris / certificat d'escolaritat / EGB",2759
2012,8,"Nou Barris",46,"el Turó de la Peira","Home","Estudis primaris / certificat d'escolaritat / EGB",1741
2012,8,"Nou Barris",47,"Can Peguera","Home","Estudis primaris / certificat d'escolaritat / EGB",305
2012,8,"Nou Barris",48,"la Guineueta","Home","Estudis primaris / certificat d'escolaritat / EGB",1436
2012,8,"Nou Barris",49,"Canyelles","Home","Estudis primaris / certificat d'escolaritat / EGB",940
2012,8,"Nou Barris",50,"les Roquetes","Home","Estudis primaris / certificat d'escolaritat / EGB",2255
2012,8,"Nou Barris",51,"Verdun","Home","Estudis primaris / certificat d'escolaritat / EGB",1592
2012,8,"Nou Barris",52,"la Prosperitat","Home","Estudis primaris / certificat d'escolaritat / EGB",3138
2012,8,"Nou Barris",53,"la Trinitat Nova","Home","Estudis primaris / certificat d'escolaritat / EGB",1128
2012,8,"Nou Barris",54,"Torre Baró","Home","Estudis primaris / certificat d'escolaritat / EGB",368
2012,8,"Nou Barris",55,"Ciutat Meridiana","Home","Estudis primaris / certificat d'escolaritat / EGB",1896
2012,8,"Nou Barris",56,"Vallbona","Home","Estudis primaris / certificat d'escolaritat / EGB",215
2012,9,"Sant Andreu",57,"la Trinitat Vella","Home","Estudis primaris / certificat d'escolaritat / EGB",1732
2012,9,"Sant Andreu",58,"Baró de Viver","Home","Estudis primaris / certificat d'escolaritat / EGB",363
2012,9,"Sant Andreu",59,"el Bon Pastor","Home","Estudis primaris / certificat d'escolaritat / EGB",1903
2012,9,"Sant Andreu",60,"Sant Andreu","Home","Estudis primaris / certificat d'escolaritat / EGB",4562
2012,9,"Sant Andreu",61,"la Sagrera","Home","Estudis primaris / certificat d'escolaritat / EGB",2511
2012,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Estudis primaris / certificat d'escolaritat / EGB",1098
2012,9,"Sant Andreu",63,"Navas","Home","Estudis primaris / certificat d'escolaritat / EGB",1590
2012,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Estudis primaris / certificat d'escolaritat / EGB",2858
2012,10,"Sant Martí",65,"el Clot","Home","Estudis primaris / certificat d'escolaritat / EGB",2218
2012,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",1026
2012,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",245
2012,10,"Sant Martí",68,"el Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",2634
2012,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",673
2012,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Estudis primaris / certificat d'escolaritat / EGB",3975
2012,10,"Sant Martí",71,"Provençals del Poblenou","Home","Estudis primaris / certificat d'escolaritat / EGB",1847
2012,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Estudis primaris / certificat d'escolaritat / EGB",2576
2012,10,"Sant Martí",73,"la Verneda i la Pau","Home","Estudis primaris / certificat d'escolaritat / EGB",3289
2012,99,"No consta",99,"No consta","Home","Estudis primaris / certificat d'escolaritat / EGB",17
2012,1,"Ciutat Vella",1,"el Raval","Home","Batxillerat elemental / graduat escolar / ESO / FPI",4795
2012,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1470
2012,1,"Ciutat Vella",3,"la Barceloneta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1660
2012,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1745
2012,2,"Eixample",5,"el Fort Pienc","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2322
2012,2,"Eixample",6,"la Sagrada Família","Home","Batxillerat elemental / graduat escolar / ESO / FPI",4149
2012,2,"Eixample",7,"la Dreta de l'Eixample","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2166
2012,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2437
2012,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3929
2012,2,"Eixample",10,"Sant Antoni","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3096
2012,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Batxillerat elemental / graduat escolar / ESO / FPI",4005
2012,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Batxillerat elemental / graduat escolar / ESO / FPI",128
2012,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3123
2012,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Batxillerat elemental / graduat escolar / ESO / FPI",915
2012,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1472
2012,3,"Sants-Montjuïc",16,"la Bordeta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1862
2012,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2343
2012,3,"Sants-Montjuïc",18,"Sants","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3573
2012,4,"Les Corts",19,"les Corts","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2913
2012,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1633
2012,4,"Les Corts",21,"Pedralbes","Home","Batxillerat elemental / graduat escolar / ESO / FPI",441
2012,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Batxillerat elemental / graduat escolar / ESO / FPI",274
2012,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1041
2012,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Batxillerat elemental / graduat escolar / ESO / FPI",533
2012,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Batxillerat elemental / graduat escolar / ESO / FPI",977
2012,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1778
2012,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1537
2012,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1072
2012,6,"Gràcia",29,"el Coll","Home","Batxillerat elemental / graduat escolar / ESO / FPI",589
2012,6,"Gràcia",30,"la Salut","Home","Batxillerat elemental / graduat escolar / ESO / FPI",886
2012,6,"Gràcia",31,"la Vila de Gràcia","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3408
2012,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2499
2012,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2203
2012,7,"Horta-Guinardó",34,"Can Baró","Home","Batxillerat elemental / graduat escolar / ESO / FPI",850
2012,7,"Horta-Guinardó",35,"el Guinardó","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3167
2012,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Batxillerat elemental / graduat escolar / ESO / FPI",849
2012,7,"Horta-Guinardó",37,"el Carmel","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3834
2012,7,"Horta-Guinardó",38,"la Teixonera","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1314
2012,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Batxillerat elemental / graduat escolar / ESO / FPI",694
2012,7,"Horta-Guinardó",40,"Montbau","Home","Batxillerat elemental / graduat escolar / ESO / FPI",441
2012,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Batxillerat elemental / graduat escolar / ESO / FPI",472
2012,7,"Horta-Guinardó",42,"la Clota","Home","Batxillerat elemental / graduat escolar / ESO / FPI",40
2012,7,"Horta-Guinardó",43,"Horta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2505
2012,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2538
2012,8,"Nou Barris",45,"Porta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2627
2012,8,"Nou Barris",46,"el Turó de la Peira","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1602
2012,8,"Nou Barris",47,"Can Peguera","Home","Batxillerat elemental / graduat escolar / ESO / FPI",219
2012,8,"Nou Barris",48,"la Guineueta","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1576
2012,8,"Nou Barris",49,"Canyelles","Home","Batxillerat elemental / graduat escolar / ESO / FPI",784
2012,8,"Nou Barris",50,"les Roquetes","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1861
2012,8,"Nou Barris",51,"Verdun","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1367
2012,8,"Nou Barris",52,"la Prosperitat","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3064
2012,8,"Nou Barris",53,"la Trinitat Nova","Home","Batxillerat elemental / graduat escolar / ESO / FPI",892
2012,8,"Nou Barris",54,"Torre Baró","Home","Batxillerat elemental / graduat escolar / ESO / FPI",230
2012,8,"Nou Barris",55,"Ciutat Meridiana","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1277
2012,8,"Nou Barris",56,"Vallbona","Home","Batxillerat elemental / graduat escolar / ESO / FPI",131
2012,9,"Sant Andreu",57,"la Trinitat Vella","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1267
2012,9,"Sant Andreu",58,"Baró de Viver","Home","Batxillerat elemental / graduat escolar / ESO / FPI",263
2012,9,"Sant Andreu",59,"el Bon Pastor","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1436
2012,9,"Sant Andreu",60,"Sant Andreu","Home","Batxillerat elemental / graduat escolar / ESO / FPI",5354
2012,9,"Sant Andreu",61,"la Sagrera","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2935
2012,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1310
2012,9,"Sant Andreu",63,"Navas","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2121
2012,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Batxillerat elemental / graduat escolar / ESO / FPI",3502
2012,10,"Sant Martí",65,"el Clot","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2717
2012,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Batxillerat elemental / graduat escolar / ESO / FPI",1202
2012,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Batxillerat elemental / graduat escolar / ESO / FPI",483
2012,10,"Sant Martí",68,"el Poblenou","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2862
2012,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Batxillerat elemental / graduat escolar / ESO / FPI",869
2012,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2809
2012,10,"Sant Martí",71,"Provençals del Poblenou","Home","Batxillerat elemental / graduat escolar / ESO / FPI",2044
