Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloc_procedencia,Nombre
2016,1,Ciutat Vella,1,el Raval,Andalusia,114
2016,1,Ciutat Vella,2,el Barri Gòtic,Andalusia,50
2016,1,Ciutat Vella,3,la Barceloneta,Andalusia,37
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Andalusia,66
2016,2,Eixample,5,el Fort Pienc,Andalusia,78
2016,2,Eixample,6,la Sagrada Família,Andalusia,61
2016,2,Eixample,7,la Dreta de l'Eixample,Andalusia,66
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Andalusia,67
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Andalusia,64
2016,2,Eixample,10,Sant Antoni,Andalusia,51
2016,3,Sants-Montjuïc,11,el Poble Sec,Andalusia,66
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Andalusia,1
2016,3,Sants-Montjuïc,13,la Marina de Port,Andalusia,30
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Andalusia,15
2016,3,Sants-Montjuïc,15,Hostafrancs,Andalusia,46
2016,3,Sants-Montjuïc,16,la Bordeta,Andalusia,19
2016,3,Sants-Montjuïc,17,Sants - Badal,Andalusia,33
2016,3,Sants-Montjuïc,18,Sants,Andalusia,80
2016,4,Les Corts,19,les Corts,Andalusia,43
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Andalusia,33
2016,4,Les Corts,21,Pedralbes,Andalusia,14
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Andalusia,3
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Andalusia,18
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Andalusia,8
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Andalusia,8
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Andalusia,41
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Andalusia,38
2016,6,Gràcia,28,Vallcarca i els Penitents,Andalusia,20
2016,6,Gràcia,29,el Coll,Andalusia,10
2016,6,Gràcia,30,la Salut,Andalusia,22
2016,6,Gràcia,31,la Vila de Gràcia,Andalusia,63
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Andalusia,38
2016,7,Horta-Guinardó,33,el Baix Guinardó,Andalusia,22
2016,7,Horta-Guinardó,34,Can Baró,Andalusia,7
2016,7,Horta-Guinardó,35,el Guinardó,Andalusia,50
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Andalusia,7
2016,7,Horta-Guinardó,37,el Carmel,Andalusia,31
2016,7,Horta-Guinardó,38,la Teixonera,Andalusia,26
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Andalusia,8
2016,7,Horta-Guinardó,40,Montbau,Andalusia,16
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Andalusia,8
2016,7,Horta-Guinardó,42,la Clota,Andalusia,0
2016,7,Horta-Guinardó,43,Horta,Andalusia,32
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Andalusia,20
2016,8,Nou Barris,45,Porta,Andalusia,41
2016,8,Nou Barris,46,el Turó de la Peira,Andalusia,25
2016,8,Nou Barris,47,Can Peguera,Andalusia,5
2016,8,Nou Barris,48,la Guineueta,Andalusia,12
2016,8,Nou Barris,49,Canyelles,Andalusia,13
2016,8,Nou Barris,50,les Roquetes,Andalusia,17
2016,8,Nou Barris,51,Verdun,Andalusia,13
2016,8,Nou Barris,52,la Prosperitat,Andalusia,47
2016,8,Nou Barris,53,la Trinitat Nova,Andalusia,17
2016,8,Nou Barris,54,Torre Baró,Andalusia,5
2016,8,Nou Barris,55,Ciutat Meridiana,Andalusia,23
2016,8,Nou Barris,56,Vallbona,Andalusia,0
2016,9,Sant Andreu,57,la Trinitat Vella,Andalusia,9
2016,9,Sant Andreu,58,Baró de Viver,Andalusia,4
2016,9,Sant Andreu,59,el Bon Pastor,Andalusia,18
2016,9,Sant Andreu,60,Sant Andreu,Andalusia,52
2016,9,Sant Andreu,61,la Sagrera,Andalusia,25
2016,9,Sant Andreu,62,el Congrés i els Indians,Andalusia,20
2016,9,Sant Andreu,63,Navas,Andalusia,28
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Andalusia,63
2016,10,Sant Martí,65,el Clot,Andalusia,29
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Andalusia,25
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Andalusia,16
2016,10,Sant Martí,68,el Poblenou,Andalusia,25
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Andalusia,27
2016,10,Sant Martí,70,el Besòs i el Maresme,Andalusia,44
2016,10,Sant Martí,71,Provençals del Poblenou,Andalusia,22
2016,10,Sant Martí,72,Sant Martí de Provençals,Andalusia,30
2016,10,Sant Martí,73,la Verneda i la Pau,Andalusia,34
2016,99,No consta,99,No consta,Andalusia,0
2016,1,Ciutat Vella,1,el Raval,Aragó,27
2016,1,Ciutat Vella,2,el Barri Gòtic,Aragó,9
2016,1,Ciutat Vella,3,la Barceloneta,Aragó,5
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Aragó,9
2016,2,Eixample,5,el Fort Pienc,Aragó,16
2016,2,Eixample,6,la Sagrada Família,Aragó,18
2016,2,Eixample,7,la Dreta de l'Eixample,Aragó,25
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Aragó,20
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Aragó,38
2016,2,Eixample,10,Sant Antoni,Aragó,23
2016,3,Sants-Montjuïc,11,el Poble Sec,Aragó,25
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Aragó,0
2016,3,Sants-Montjuïc,13,la Marina de Port,Aragó,9
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Aragó,5
2016,3,Sants-Montjuïc,15,Hostafrancs,Aragó,7
2016,3,Sants-Montjuïc,16,la Bordeta,Aragó,8
2016,3,Sants-Montjuïc,17,Sants - Badal,Aragó,9
2016,3,Sants-Montjuïc,18,Sants,Aragó,22
2016,4,Les Corts,19,les Corts,Aragó,41
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Aragó,14
2016,4,Les Corts,21,Pedralbes,Aragó,22
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Aragó,0
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Aragó,2
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Aragó,4
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Aragó,7
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Aragó,11
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Aragó,13
2016,6,Gràcia,28,Vallcarca i els Penitents,Aragó,9
2016,6,Gràcia,29,el Coll,Aragó,6
2016,6,Gràcia,30,la Salut,Aragó,3
2016,6,Gràcia,31,la Vila de Gràcia,Aragó,30
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Aragó,7
2016,7,Horta-Guinardó,33,el Baix Guinardó,Aragó,14
2016,7,Horta-Guinardó,34,Can Baró,Aragó,6
2016,7,Horta-Guinardó,35,el Guinardó,Aragó,12
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Aragó,0
2016,7,Horta-Guinardó,37,el Carmel,Aragó,13
2016,7,Horta-Guinardó,38,la Teixonera,Aragó,4
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Aragó,4
2016,7,Horta-Guinardó,40,Montbau,Aragó,3
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Aragó,3
2016,7,Horta-Guinardó,42,la Clota,Aragó,1
2016,7,Horta-Guinardó,43,Horta,Aragó,9
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Aragó,9
2016,8,Nou Barris,45,Porta,Aragó,12
2016,8,Nou Barris,46,el Turó de la Peira,Aragó,6
2016,8,Nou Barris,47,Can Peguera,Aragó,1
2016,8,Nou Barris,48,la Guineueta,Aragó,9
2016,8,Nou Barris,49,Canyelles,Aragó,1
2016,8,Nou Barris,50,les Roquetes,Aragó,10
2016,8,Nou Barris,51,Verdun,Aragó,12
2016,8,Nou Barris,52,la Prosperitat,Aragó,9
2016,8,Nou Barris,53,la Trinitat Nova,Aragó,7
2016,8,Nou Barris,54,Torre Baró,Aragó,1
2016,8,Nou Barris,55,Ciutat Meridiana,Aragó,1
2016,8,Nou Barris,56,Vallbona,Aragó,1
2016,9,Sant Andreu,57,la Trinitat Vella,Aragó,12
2016,9,Sant Andreu,58,Baró de Viver,Aragó,0
2016,9,Sant Andreu,59,el Bon Pastor,Aragó,4
2016,9,Sant Andreu,60,Sant Andreu,Aragó,22
2016,9,Sant Andreu,61,la Sagrera,Aragó,17
2016,9,Sant Andreu,62,el Congrés i els Indians,Aragó,3
2016,9,Sant Andreu,63,Navas,Aragó,7
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Aragó,24
2016,10,Sant Martí,65,el Clot,Aragó,13
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Aragó,6
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Aragó,8
2016,10,Sant Martí,68,el Poblenou,Aragó,12
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Aragó,11
2016,10,Sant Martí,70,el Besòs i el Maresme,Aragó,25
2016,10,Sant Martí,71,Provençals del Poblenou,Aragó,3
2016,10,Sant Martí,72,Sant Martí de Provençals,Aragó,8
2016,10,Sant Martí,73,la Verneda i la Pau,Aragó,18
2016,99,No consta,99,No consta,Aragó,0
2016,1,Ciutat Vella,1,el Raval,Principat  d'Astúries,6
2016,1,Ciutat Vella,2,el Barri Gòtic,Principat  d'Astúries,3
2016,1,Ciutat Vella,3,la Barceloneta,Principat  d'Astúries,7
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Principat  d'Astúries,5
2016,2,Eixample,5,el Fort Pienc,Principat  d'Astúries,10
2016,2,Eixample,6,la Sagrada Família,Principat  d'Astúries,9
2016,2,Eixample,7,la Dreta de l'Eixample,Principat  d'Astúries,13
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Principat  d'Astúries,11
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Principat  d'Astúries,15
2016,2,Eixample,10,Sant Antoni,Principat  d'Astúries,6
2016,3,Sants-Montjuïc,11,el Poble Sec,Principat  d'Astúries,9
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Principat  d'Astúries,0
2016,3,Sants-Montjuïc,13,la Marina de Port,Principat  d'Astúries,2
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Principat  d'Astúries,2
2016,3,Sants-Montjuïc,15,Hostafrancs,Principat  d'Astúries,6
2016,3,Sants-Montjuïc,16,la Bordeta,Principat  d'Astúries,3
2016,3,Sants-Montjuïc,17,Sants - Badal,Principat  d'Astúries,2
2016,3,Sants-Montjuïc,18,Sants,Principat  d'Astúries,7
2016,4,Les Corts,19,les Corts,Principat  d'Astúries,6
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Principat  d'Astúries,5
2016,4,Les Corts,21,Pedralbes,Principat  d'Astúries,0
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Principat  d'Astúries,0
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Principat  d'Astúries,3
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Principat  d'Astúries,0
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Principat  d'Astúries,1
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Principat  d'Astúries,1
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Principat  d'Astúries,4
2016,6,Gràcia,28,Vallcarca i els Penitents,Principat  d'Astúries,2
2016,6,Gràcia,29,el Coll,Principat  d'Astúries,0
2016,6,Gràcia,30,la Salut,Principat  d'Astúries,2
2016,6,Gràcia,31,la Vila de Gràcia,Principat  d'Astúries,14
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Principat  d'Astúries,6
2016,7,Horta-Guinardó,33,el Baix Guinardó,Principat  d'Astúries,3
2016,7,Horta-Guinardó,34,Can Baró,Principat  d'Astúries,2
2016,7,Horta-Guinardó,35,el Guinardó,Principat  d'Astúries,8
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Principat  d'Astúries,4
2016,7,Horta-Guinardó,37,el Carmel,Principat  d'Astúries,4
2016,7,Horta-Guinardó,38,la Teixonera,Principat  d'Astúries,2
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Principat  d'Astúries,1
2016,7,Horta-Guinardó,40,Montbau,Principat  d'Astúries,1
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Principat  d'Astúries,3
2016,7,Horta-Guinardó,42,la Clota,Principat  d'Astúries,0
2016,7,Horta-Guinardó,43,Horta,Principat  d'Astúries,1
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Principat  d'Astúries,3
2016,8,Nou Barris,45,Porta,Principat  d'Astúries,2
2016,8,Nou Barris,46,el Turó de la Peira,Principat  d'Astúries,2
2016,8,Nou Barris,47,Can Peguera,Principat  d'Astúries,1
2016,8,Nou Barris,48,la Guineueta,Principat  d'Astúries,1
2016,8,Nou Barris,49,Canyelles,Principat  d'Astúries,0
2016,8,Nou Barris,50,les Roquetes,Principat  d'Astúries,4
2016,8,Nou Barris,51,Verdun,Principat  d'Astúries,2
2016,8,Nou Barris,52,la Prosperitat,Principat  d'Astúries,5
2016,8,Nou Barris,53,la Trinitat Nova,Principat  d'Astúries,0
2016,8,Nou Barris,54,Torre Baró,Principat  d'Astúries,0
2016,8,Nou Barris,55,Ciutat Meridiana,Principat  d'Astúries,5
2016,8,Nou Barris,56,Vallbona,Principat  d'Astúries,0
2016,9,Sant Andreu,57,la Trinitat Vella,Principat  d'Astúries,1
2016,9,Sant Andreu,58,Baró de Viver,Principat  d'Astúries,0
2016,9,Sant Andreu,59,el Bon Pastor,Principat  d'Astúries,0
2016,9,Sant Andreu,60,Sant Andreu,Principat  d'Astúries,8
2016,9,Sant Andreu,61,la Sagrera,Principat  d'Astúries,3
2016,9,Sant Andreu,62,el Congrés i els Indians,Principat  d'Astúries,2
2016,9,Sant Andreu,63,Navas,Principat  d'Astúries,6
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Principat  d'Astúries,4
2016,10,Sant Martí,65,el Clot,Principat  d'Astúries,4
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Principat  d'Astúries,1
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Principat  d'Astúries,2
2016,10,Sant Martí,68,el Poblenou,Principat  d'Astúries,5
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Principat  d'Astúries,0
2016,10,Sant Martí,70,el Besòs i el Maresme,Principat  d'Astúries,4
2016,10,Sant Martí,71,Provençals del Poblenou,Principat  d'Astúries,0
2016,10,Sant Martí,72,Sant Martí de Provençals,Principat  d'Astúries,4
2016,10,Sant Martí,73,la Verneda i la Pau,Principat  d'Astúries,2
2016,99,No consta,99,No consta,Principat  d'Astúries,0
2016,1,Ciutat Vella,1,el Raval,Illes Balears,60
2016,1,Ciutat Vella,2,el Barri Gòtic,Illes Balears,42
2016,1,Ciutat Vella,3,la Barceloneta,Illes Balears,18
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Illes Balears,40
2016,2,Eixample,5,el Fort Pienc,Illes Balears,33
2016,2,Eixample,6,la Sagrada Família,Illes Balears,38
2016,2,Eixample,7,la Dreta de l'Eixample,Illes Balears,62
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Illes Balears,42
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Illes Balears,51
2016,2,Eixample,10,Sant Antoni,Illes Balears,41
2016,3,Sants-Montjuïc,11,el Poble Sec,Illes Balears,51
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Illes Balears,0
2016,3,Sants-Montjuïc,13,la Marina de Port,Illes Balears,12
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Illes Balears,11
2016,3,Sants-Montjuïc,15,Hostafrancs,Illes Balears,17
2016,3,Sants-Montjuïc,16,la Bordeta,Illes Balears,5
2016,3,Sants-Montjuïc,17,Sants - Badal,Illes Balears,22
2016,3,Sants-Montjuïc,18,Sants,Illes Balears,44
2016,4,Les Corts,19,les Corts,Illes Balears,41
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Illes Balears,24
2016,4,Les Corts,21,Pedralbes,Illes Balears,24
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Illes Balears,3
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Illes Balears,35
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Illes Balears,26
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Illes Balears,31
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Illes Balears,58
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Illes Balears,39
2016,6,Gràcia,28,Vallcarca i els Penitents,Illes Balears,9
2016,6,Gràcia,29,el Coll,Illes Balears,6
2016,6,Gràcia,30,la Salut,Illes Balears,16
2016,6,Gràcia,31,la Vila de Gràcia,Illes Balears,63
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Illes Balears,17
2016,7,Horta-Guinardó,33,el Baix Guinardó,Illes Balears,24
2016,7,Horta-Guinardó,34,Can Baró,Illes Balears,7
2016,7,Horta-Guinardó,35,el Guinardó,Illes Balears,26
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Illes Balears,9
2016,7,Horta-Guinardó,37,el Carmel,Illes Balears,17
2016,7,Horta-Guinardó,38,la Teixonera,Illes Balears,9
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Illes Balears,10
2016,7,Horta-Guinardó,40,Montbau,Illes Balears,6
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Illes Balears,8
2016,7,Horta-Guinardó,42,la Clota,Illes Balears,0
2016,7,Horta-Guinardó,43,Horta,Illes Balears,15
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Illes Balears,6
2016,8,Nou Barris,45,Porta,Illes Balears,16
2016,8,Nou Barris,46,el Turó de la Peira,Illes Balears,10
2016,8,Nou Barris,47,Can Peguera,Illes Balears,1
2016,8,Nou Barris,48,la Guineueta,Illes Balears,4
2016,8,Nou Barris,49,Canyelles,Illes Balears,1
2016,8,Nou Barris,50,les Roquetes,Illes Balears,5
2016,8,Nou Barris,51,Verdun,Illes Balears,2
2016,8,Nou Barris,52,la Prosperitat,Illes Balears,14
2016,8,Nou Barris,53,la Trinitat Nova,Illes Balears,5
2016,8,Nou Barris,54,Torre Baró,Illes Balears,0
2016,8,Nou Barris,55,Ciutat Meridiana,Illes Balears,7
2016,8,Nou Barris,56,Vallbona,Illes Balears,0
2016,9,Sant Andreu,57,la Trinitat Vella,Illes Balears,3
2016,9,Sant Andreu,58,Baró de Viver,Illes Balears,1
2016,9,Sant Andreu,59,el Bon Pastor,Illes Balears,5
2016,9,Sant Andreu,60,Sant Andreu,Illes Balears,24
2016,9,Sant Andreu,61,la Sagrera,Illes Balears,11
2016,9,Sant Andreu,62,el Congrés i els Indians,Illes Balears,12
2016,9,Sant Andreu,63,Navas,Illes Balears,12
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Illes Balears,31
2016,10,Sant Martí,65,el Clot,Illes Balears,18
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Illes Balears,18
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Illes Balears,3
2016,10,Sant Martí,68,el Poblenou,Illes Balears,30
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Illes Balears,14
2016,10,Sant Martí,70,el Besòs i el Maresme,Illes Balears,12
2016,10,Sant Martí,71,Provençals del Poblenou,Illes Balears,9
2016,10,Sant Martí,72,Sant Martí de Provençals,Illes Balears,11
2016,10,Sant Martí,73,la Verneda i la Pau,Illes Balears,11
2016,99,No consta,99,No consta,Illes Balears,0
2016,1,Ciutat Vella,1,el Raval,Canàries,48
2016,1,Ciutat Vella,2,el Barri Gòtic,Canàries,16
2016,1,Ciutat Vella,3,la Barceloneta,Canàries,12
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Canàries,24
2016,2,Eixample,5,el Fort Pienc,Canàries,29
2016,2,Eixample,6,la Sagrada Família,Canàries,40
2016,2,Eixample,7,la Dreta de l'Eixample,Canàries,27
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Canàries,19
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Canàries,54
2016,2,Eixample,10,Sant Antoni,Canàries,27
2016,3,Sants-Montjuïc,11,el Poble Sec,Canàries,37
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Canàries,0
2016,3,Sants-Montjuïc,13,la Marina de Port,Canàries,5
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Canàries,3
2016,3,Sants-Montjuïc,15,Hostafrancs,Canàries,11
2016,3,Sants-Montjuïc,16,la Bordeta,Canàries,9
2016,3,Sants-Montjuïc,17,Sants - Badal,Canàries,9
2016,3,Sants-Montjuïc,18,Sants,Canàries,29
2016,4,Les Corts,19,les Corts,Canàries,18
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Canàries,21
2016,4,Les Corts,21,Pedralbes,Canàries,7
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Canàries,1
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Canàries,17
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Canàries,5
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Canàries,11
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Canàries,20
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Canàries,11
2016,6,Gràcia,28,Vallcarca i els Penitents,Canàries,10
2016,6,Gràcia,29,el Coll,Canàries,13
2016,6,Gràcia,30,la Salut,Canàries,5
2016,6,Gràcia,31,la Vila de Gràcia,Canàries,33
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Canàries,16
2016,7,Horta-Guinardó,33,el Baix Guinardó,Canàries,14
2016,7,Horta-Guinardó,34,Can Baró,Canàries,0
2016,7,Horta-Guinardó,35,el Guinardó,Canàries,10
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Canàries,3
2016,7,Horta-Guinardó,37,el Carmel,Canàries,14
2016,7,Horta-Guinardó,38,la Teixonera,Canàries,5
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Canàries,7
2016,7,Horta-Guinardó,40,Montbau,Canàries,1
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Canàries,6
2016,7,Horta-Guinardó,42,la Clota,Canàries,1
2016,7,Horta-Guinardó,43,Horta,Canàries,8
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Canàries,5
2016,8,Nou Barris,45,Porta,Canàries,7
2016,8,Nou Barris,46,el Turó de la Peira,Canàries,2
2016,8,Nou Barris,47,Can Peguera,Canàries,0
2016,8,Nou Barris,48,la Guineueta,Canàries,6
2016,8,Nou Barris,49,Canyelles,Canàries,3
2016,8,Nou Barris,50,les Roquetes,Canàries,2
2016,8,Nou Barris,51,Verdun,Canàries,3
2016,8,Nou Barris,52,la Prosperitat,Canàries,9
2016,8,Nou Barris,53,la Trinitat Nova,Canàries,3
2016,8,Nou Barris,54,Torre Baró,Canàries,1
2016,8,Nou Barris,55,Ciutat Meridiana,Canàries,2
2016,8,Nou Barris,56,Vallbona,Canàries,1
2016,9,Sant Andreu,57,la Trinitat Vella,Canàries,3
2016,9,Sant Andreu,58,Baró de Viver,Canàries,0
2016,9,Sant Andreu,59,el Bon Pastor,Canàries,1
2016,9,Sant Andreu,60,Sant Andreu,Canàries,18
2016,9,Sant Andreu,61,la Sagrera,Canàries,12
2016,9,Sant Andreu,62,el Congrés i els Indians,Canàries,1
2016,9,Sant Andreu,63,Navas,Canàries,5
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Canàries,23
2016,10,Sant Martí,65,el Clot,Canàries,12
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Canàries,7
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Canàries,4
2016,10,Sant Martí,68,el Poblenou,Canàries,13
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Canàries,4
2016,10,Sant Martí,70,el Besòs i el Maresme,Canàries,10
2016,10,Sant Martí,71,Provençals del Poblenou,Canàries,7
2016,10,Sant Martí,72,Sant Martí de Provençals,Canàries,10
2016,10,Sant Martí,73,la Verneda i la Pau,Canàries,7
2016,99,No consta,99,No consta,Canàries,0
2016,1,Ciutat Vella,1,el Raval,Cantàbria,12
2016,1,Ciutat Vella,2,el Barri Gòtic,Cantàbria,4
2016,1,Ciutat Vella,3,la Barceloneta,Cantàbria,4
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Cantàbria,3
2016,2,Eixample,5,el Fort Pienc,Cantàbria,2
2016,2,Eixample,6,la Sagrada Família,Cantàbria,8
