"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc de procedència","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Andalusia",125
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Andalusia",46
2015,1,"Ciutat Vella",3,"la Barceloneta","Andalusia",45
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Andalusia",58
2015,2,"Eixample",5,"el Fort Pienc","Andalusia",56
2015,2,"Eixample",6,"la Sagrada Família","Andalusia",81
2015,2,"Eixample",7,"la Dreta de l'Eixample","Andalusia",59
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Andalusia",76
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Andalusia",70
2015,2,"Eixample",10,"Sant Antoni","Andalusia",56
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Andalusia",72
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Andalusia",2
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Andalusia",48
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Andalusia",36
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Andalusia",34
2015,3,"Sants-Montjuïc",16,"la Bordeta","Andalusia",29
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Andalusia",26
2015,3,"Sants-Montjuïc",18,"Sants","Andalusia",69
2015,4,"Les Corts",19,"les Corts","Andalusia",58
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Andalusia",42
2015,4,"Les Corts",21,"Pedralbes","Andalusia",12
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Andalusia",1
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Andalusia",24
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Andalusia",6
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Andalusia",25
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Andalusia",38
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Andalusia",39
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Andalusia",19
2015,6,"Gràcia",29,"el Coll","Andalusia",9
2015,6,"Gràcia",30,"la Salut","Andalusia",19
2015,6,"Gràcia",31,"la Vila de Gràcia","Andalusia",113
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Andalusia",40
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Andalusia",33
2015,7,"Horta-Guinardó",34,"Can Baró","Andalusia",13
2015,7,"Horta-Guinardó",35,"el Guinardó","Andalusia",48
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Andalusia",3
2015,7,"Horta-Guinardó",37,"el Carmel","Andalusia",44
2015,7,"Horta-Guinardó",38,"la Teixonera","Andalusia",14
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Andalusia",14
2015,7,"Horta-Guinardó",40,"Montbau","Andalusia",7
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Andalusia",4
2015,7,"Horta-Guinardó",42,"la Clota","Andalusia",0
2015,7,"Horta-Guinardó",43,"Horta","Andalusia",22
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Andalusia",42
2015,8,"Nou Barris",45,"Porta","Andalusia",37
2015,8,"Nou Barris",46,"el Turó de la Peira","Andalusia",14
2015,8,"Nou Barris",47,"Can Peguera","Andalusia",6
2015,8,"Nou Barris",48,"la Guineueta","Andalusia",19
2015,8,"Nou Barris",49,"Canyelles","Andalusia",5
2015,8,"Nou Barris",50,"les Roquetes","Andalusia",48
2015,8,"Nou Barris",51,"Verdun","Andalusia",13
2015,8,"Nou Barris",52,"la Prosperitat","Andalusia",27
2015,8,"Nou Barris",53,"la Trinitat Nova","Andalusia",12
2015,8,"Nou Barris",54,"Torre Baró","Andalusia",4
2015,8,"Nou Barris",55,"Ciutat Meridiana","Andalusia",15
2015,8,"Nou Barris",56,"Vallbona","Andalusia",2
2015,9,"Sant Andreu",57,"la Trinitat Vella","Andalusia",12
2015,9,"Sant Andreu",58,"Baró de Viver","Andalusia",4
2015,9,"Sant Andreu",59,"el Bon Pastor","Andalusia",11
2015,9,"Sant Andreu",60,"Sant Andreu","Andalusia",56
2015,9,"Sant Andreu",61,"la Sagrera","Andalusia",33
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Andalusia",17
2015,9,"Sant Andreu",63,"Navas","Andalusia",30
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Andalusia",75
2015,10,"Sant Martí",65,"el Clot","Andalusia",54
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Andalusia",13
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Andalusia",7
2015,10,"Sant Martí",68,"el Poblenou","Andalusia",30
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Andalusia",12
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Andalusia",41
2015,10,"Sant Martí",71,"Provençals del Poblenou","Andalusia",29
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Andalusia",26
2015,10,"Sant Martí",73,"la Verneda i la Pau","Andalusia",33
2015,99,"No consta",99,"No consta","Andalusia",0
2015,1,"Ciutat Vella",1,"el Raval","Aragó",65
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Aragó",24
2015,1,"Ciutat Vella",3,"la Barceloneta","Aragó",9
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Aragó",27
2015,2,"Eixample",5,"el Fort Pienc","Aragó",36
2015,2,"Eixample",6,"la Sagrada Família","Aragó",41
2015,2,"Eixample",7,"la Dreta de l'Eixample","Aragó",31
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Aragó",32
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Aragó",32
2015,2,"Eixample",10,"Sant Antoni","Aragó",30
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Aragó",22
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Aragó",3
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Aragó",9
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Aragó",9
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Aragó",13
2015,3,"Sants-Montjuïc",16,"la Bordeta","Aragó",12
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Aragó",10
2015,3,"Sants-Montjuïc",18,"Sants","Aragó",27
2015,4,"Les Corts",19,"les Corts","Aragó",44
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Aragó",15
2015,4,"Les Corts",21,"Pedralbes","Aragó",18
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Aragó",2
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Aragó",10
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Aragó",5
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Aragó",5
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Aragó",17
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Aragó",13
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Aragó",2
2015,6,"Gràcia",29,"el Coll","Aragó",1
2015,6,"Gràcia",30,"la Salut","Aragó",4
2015,6,"Gràcia",31,"la Vila de Gràcia","Aragó",26
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Aragó",17
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Aragó",13
2015,7,"Horta-Guinardó",34,"Can Baró","Aragó",1
2015,7,"Horta-Guinardó",35,"el Guinardó","Aragó",14
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Aragó",7
2015,7,"Horta-Guinardó",37,"el Carmel","Aragó",28
2015,7,"Horta-Guinardó",38,"la Teixonera","Aragó",3
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Aragó",5
2015,7,"Horta-Guinardó",40,"Montbau","Aragó",0
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Aragó",6
2015,7,"Horta-Guinardó",42,"la Clota","Aragó",1
2015,7,"Horta-Guinardó",43,"Horta","Aragó",7
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Aragó",8
2015,8,"Nou Barris",45,"Porta","Aragó",12
2015,8,"Nou Barris",46,"el Turó de la Peira","Aragó",15
2015,8,"Nou Barris",47,"Can Peguera","Aragó",0
2015,8,"Nou Barris",48,"la Guineueta","Aragó",6
2015,8,"Nou Barris",49,"Canyelles","Aragó",0
2015,8,"Nou Barris",50,"les Roquetes","Aragó",8
2015,8,"Nou Barris",51,"Verdun","Aragó",5
2015,8,"Nou Barris",52,"la Prosperitat","Aragó",6
2015,8,"Nou Barris",53,"la Trinitat Nova","Aragó",2
2015,8,"Nou Barris",54,"Torre Baró","Aragó",0
2015,8,"Nou Barris",55,"Ciutat Meridiana","Aragó",5
2015,8,"Nou Barris",56,"Vallbona","Aragó",0
2015,9,"Sant Andreu",57,"la Trinitat Vella","Aragó",12
2015,9,"Sant Andreu",58,"Baró de Viver","Aragó",0
2015,9,"Sant Andreu",59,"el Bon Pastor","Aragó",6
2015,9,"Sant Andreu",60,"Sant Andreu","Aragó",27
2015,9,"Sant Andreu",61,"la Sagrera","Aragó",13
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Aragó",3
2015,9,"Sant Andreu",63,"Navas","Aragó",10
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Aragó",24
2015,10,"Sant Martí",65,"el Clot","Aragó",13
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Aragó",8
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Aragó",6
2015,10,"Sant Martí",68,"el Poblenou","Aragó",24
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Aragó",9
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Aragó",19
2015,10,"Sant Martí",71,"Provençals del Poblenou","Aragó",12
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Aragó",15
2015,10,"Sant Martí",73,"la Verneda i la Pau","Aragó",12
2015,99,"No consta",99,"No consta","Aragó",0
2015,1,"Ciutat Vella",1,"el Raval","Principat  d'Astúries",10
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Principat  d'Astúries",7
2015,1,"Ciutat Vella",3,"la Barceloneta","Principat  d'Astúries",6
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Principat  d'Astúries",18
2015,2,"Eixample",5,"el Fort Pienc","Principat  d'Astúries",8
2015,2,"Eixample",6,"la Sagrada Família","Principat  d'Astúries",25
2015,2,"Eixample",7,"la Dreta de l'Eixample","Principat  d'Astúries",9
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Principat  d'Astúries",10
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Principat  d'Astúries",12
2015,2,"Eixample",10,"Sant Antoni","Principat  d'Astúries",29
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Principat  d'Astúries",7
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Principat  d'Astúries",0
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Principat  d'Astúries",7
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Principat  d'Astúries",2
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Principat  d'Astúries",8
2015,3,"Sants-Montjuïc",16,"la Bordeta","Principat  d'Astúries",6
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Principat  d'Astúries",5
2015,3,"Sants-Montjuïc",18,"Sants","Principat  d'Astúries",12
2015,4,"Les Corts",19,"les Corts","Principat  d'Astúries",7
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Principat  d'Astúries",1
2015,4,"Les Corts",21,"Pedralbes","Principat  d'Astúries",2
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Principat  d'Astúries",0
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Principat  d'Astúries",0
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Principat  d'Astúries",1
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Principat  d'Astúries",2
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Principat  d'Astúries",17
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Principat  d'Astúries",3
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Principat  d'Astúries",5
2015,6,"Gràcia",29,"el Coll","Principat  d'Astúries",0
2015,6,"Gràcia",30,"la Salut","Principat  d'Astúries",1
2015,6,"Gràcia",31,"la Vila de Gràcia","Principat  d'Astúries",14
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Principat  d'Astúries",4
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Principat  d'Astúries",10
2015,7,"Horta-Guinardó",34,"Can Baró","Principat  d'Astúries",0
2015,7,"Horta-Guinardó",35,"el Guinardó","Principat  d'Astúries",4
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Principat  d'Astúries",1
2015,7,"Horta-Guinardó",37,"el Carmel","Principat  d'Astúries",7
2015,7,"Horta-Guinardó",38,"la Teixonera","Principat  d'Astúries",1
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Principat  d'Astúries",0
2015,7,"Horta-Guinardó",40,"Montbau","Principat  d'Astúries",0
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Principat  d'Astúries",1
2015,7,"Horta-Guinardó",42,"la Clota","Principat  d'Astúries",0
2015,7,"Horta-Guinardó",43,"Horta","Principat  d'Astúries",2
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Principat  d'Astúries",2
2015,8,"Nou Barris",45,"Porta","Principat  d'Astúries",1
2015,8,"Nou Barris",46,"el Turó de la Peira","Principat  d'Astúries",0
2015,8,"Nou Barris",47,"Can Peguera","Principat  d'Astúries",0
2015,8,"Nou Barris",48,"la Guineueta","Principat  d'Astúries",3
2015,8,"Nou Barris",49,"Canyelles","Principat  d'Astúries",0
2015,8,"Nou Barris",50,"les Roquetes","Principat  d'Astúries",0
2015,8,"Nou Barris",51,"Verdun","Principat  d'Astúries",1
2015,8,"Nou Barris",52,"la Prosperitat","Principat  d'Astúries",3
2015,8,"Nou Barris",53,"la Trinitat Nova","Principat  d'Astúries",1
2015,8,"Nou Barris",54,"Torre Baró","Principat  d'Astúries",0
2015,8,"Nou Barris",55,"Ciutat Meridiana","Principat  d'Astúries",0
2015,8,"Nou Barris",56,"Vallbona","Principat  d'Astúries",0
2015,9,"Sant Andreu",57,"la Trinitat Vella","Principat  d'Astúries",2
2015,9,"Sant Andreu",58,"Baró de Viver","Principat  d'Astúries",0
2015,9,"Sant Andreu",59,"el Bon Pastor","Principat  d'Astúries",0
2015,9,"Sant Andreu",60,"Sant Andreu","Principat  d'Astúries",10
2015,9,"Sant Andreu",61,"la Sagrera","Principat  d'Astúries",3
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Principat  d'Astúries",2
2015,9,"Sant Andreu",63,"Navas","Principat  d'Astúries",0
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Principat  d'Astúries",8
2015,10,"Sant Martí",65,"el Clot","Principat  d'Astúries",0
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Principat  d'Astúries",7
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Principat  d'Astúries",2
2015,10,"Sant Martí",68,"el Poblenou","Principat  d'Astúries",6
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Principat  d'Astúries",4
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Principat  d'Astúries",1
2015,10,"Sant Martí",71,"Provençals del Poblenou","Principat  d'Astúries",4
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Principat  d'Astúries",9
2015,10,"Sant Martí",73,"la Verneda i la Pau","Principat  d'Astúries",1
2015,99,"No consta",99,"No consta","Principat  d'Astúries",0
2015,1,"Ciutat Vella",1,"el Raval","Illes Balears",103
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Illes Balears",31
2015,1,"Ciutat Vella",3,"la Barceloneta","Illes Balears",37
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Illes Balears",66
2015,2,"Eixample",5,"el Fort Pienc","Illes Balears",32
2015,2,"Eixample",6,"la Sagrada Família","Illes Balears",51
2015,2,"Eixample",7,"la Dreta de l'Eixample","Illes Balears",91
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Illes Balears",60
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Illes Balears",83
2015,2,"Eixample",10,"Sant Antoni","Illes Balears",47
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Illes Balears",43
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Illes Balears",0
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Illes Balears",16
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Illes Balears",16
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Illes Balears",15
2015,3,"Sants-Montjuïc",16,"la Bordeta","Illes Balears",15
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Illes Balears",10
2015,3,"Sants-Montjuïc",18,"Sants","Illes Balears",51
2015,4,"Les Corts",19,"les Corts","Illes Balears",52
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Illes Balears",19
2015,4,"Les Corts",21,"Pedralbes","Illes Balears",23
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Illes Balears",8
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Illes Balears",53
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Illes Balears",29
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Illes Balears",34
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Illes Balears",68
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Illes Balears",48
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Illes Balears",16
2015,6,"Gràcia",29,"el Coll","Illes Balears",7
2015,6,"Gràcia",30,"la Salut","Illes Balears",10
2015,6,"Gràcia",31,"la Vila de Gràcia","Illes Balears",76
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Illes Balears",32
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Illes Balears",31
2015,7,"Horta-Guinardó",34,"Can Baró","Illes Balears",5
2015,7,"Horta-Guinardó",35,"el Guinardó","Illes Balears",34
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Illes Balears",9
2015,7,"Horta-Guinardó",37,"el Carmel","Illes Balears",17
2015,7,"Horta-Guinardó",38,"la Teixonera","Illes Balears",6
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Illes Balears",4
2015,7,"Horta-Guinardó",40,"Montbau","Illes Balears",4
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Illes Balears",2
2015,7,"Horta-Guinardó",42,"la Clota","Illes Balears",0
2015,7,"Horta-Guinardó",43,"Horta","Illes Balears",14
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Illes Balears",12
2015,8,"Nou Barris",45,"Porta","Illes Balears",11
2015,8,"Nou Barris",46,"el Turó de la Peira","Illes Balears",7
2015,8,"Nou Barris",47,"Can Peguera","Illes Balears",0
2015,8,"Nou Barris",48,"la Guineueta","Illes Balears",7
2015,8,"Nou Barris",49,"Canyelles","Illes Balears",4
2015,8,"Nou Barris",50,"les Roquetes","Illes Balears",16
2015,8,"Nou Barris",51,"Verdun","Illes Balears",4
2015,8,"Nou Barris",52,"la Prosperitat","Illes Balears",16
2015,8,"Nou Barris",53,"la Trinitat Nova","Illes Balears",3
2015,8,"Nou Barris",54,"Torre Baró","Illes Balears",3
2015,8,"Nou Barris",55,"Ciutat Meridiana","Illes Balears",2
2015,8,"Nou Barris",56,"Vallbona","Illes Balears",2
2015,9,"Sant Andreu",57,"la Trinitat Vella","Illes Balears",5
2015,9,"Sant Andreu",58,"Baró de Viver","Illes Balears",3
2015,9,"Sant Andreu",59,"el Bon Pastor","Illes Balears",6
2015,9,"Sant Andreu",60,"Sant Andreu","Illes Balears",31
2015,9,"Sant Andreu",61,"la Sagrera","Illes Balears",12
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Illes Balears",9
2015,9,"Sant Andreu",63,"Navas","Illes Balears",12
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Illes Balears",30
2015,10,"Sant Martí",65,"el Clot","Illes Balears",7
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Illes Balears",20
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Illes Balears",17
2015,10,"Sant Martí",68,"el Poblenou","Illes Balears",37
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Illes Balears",6
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Illes Balears",13
2015,10,"Sant Martí",71,"Provençals del Poblenou","Illes Balears",16
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Illes Balears",10
2015,10,"Sant Martí",73,"la Verneda i la Pau","Illes Balears",6
